Embedding dim: 20
Embedding in dimension: 49496

EPOCH 1
Running average loss: 0.676479
Running average loss: 0.574874
Running average loss: 0.501986
Running average loss: 0.461695
Running average loss: 0.425571
Running average loss: 0.399844
Running average loss: 0.405095
Running average loss: 0.408745
Running average loss: 0.401741
Running average loss: 0.401591
Running average loss: 0.402567
Running average loss: 0.395502
Running average loss: 0.388604
Running average loss: 0.384167
Running average loss: 0.380535
Running average loss: 0.377262
Running average loss: 0.374997
Running average loss: 0.374311
Running average loss: 0.369404
Running average loss: 0.364897
Running average loss: 0.365342
Running average loss: 0.368465
Running average loss: 0.369445
Running average loss: 0.372037
Running average loss: 0.372354
Running average loss: 0.369042
Running average loss: 0.365670
Running average loss: 0.361337
Running average loss: 0.357040
Running average loss: 0.355528
Running average loss: 0.354487
Running average loss: 0.352645
Running average loss: 0.350751
Running average loss: 0.349345
Running average loss: 0.350266
Running average loss: 0.349865
Running average loss: 0.348651
Running average loss: 0.349696
Running average loss: 0.350370
Running average loss: 0.351612
Running average loss: 0.352785
Running average loss: 0.351166
Running average loss: 0.348670
Running average loss: 0.345842
Running average loss: 0.346825
Running average loss: 0.347608
Running average loss: 0.348591
Running average loss: 0.348776
Running average loss: 0.348763
Running average loss: 0.348913
Running average loss: 0.349035
Running average loss: 0.349978
Running average loss: 0.350229
Running average loss: 0.354783
Running average loss: 0.360273
Running average loss: 0.362338
Running average loss: 0.360942
Running average loss: 0.359076
Running average loss: 0.357044
Running average loss: 0.355082
Running average loss: 0.354464
Running average loss: 0.354077
Running average loss: 0.353898
Running average loss: 0.353737
Running average loss: 0.352429
Running average loss: 0.350754
Running average loss: 0.349321
Running average loss: 0.348118
Running average loss: 0.347007
Running average loss: 0.348619
VALIDATION LOSS: 0.365638
Elapsed time 347.2742280960083 seconds

EPOCH 2
Running average loss: 0.588101
Running average loss: 0.518429
Running average loss: 0.477099
Running average loss: 0.451657
Running average loss: 0.419596
Running average loss: 0.395412
Running average loss: 0.402157
Running average loss: 0.407500
Running average loss: 0.401199
Running average loss: 0.401724
Running average loss: 0.403414
Running average loss: 0.396376
Running average loss: 0.389779
Running average loss: 0.385246
Running average loss: 0.381506
Running average loss: 0.378394
Running average loss: 0.375923
Running average loss: 0.374483
Running average loss: 0.368940
Running average loss: 0.364214
Running average loss: 0.364450
Running average loss: 0.367541
Running average loss: 0.368625
Running average loss: 0.371306
Running average loss: 0.371957
Running average loss: 0.368699
Running average loss: 0.365357
Running average loss: 0.361012
Running average loss: 0.356664
Running average loss: 0.355049
Running average loss: 0.353935
Running average loss: 0.351979
Running average loss: 0.349809
Running average loss: 0.348193
Running average loss: 0.348999
Running average loss: 0.348441
Running average loss: 0.346787
Running average loss: 0.347934
Running average loss: 0.348570
Running average loss: 0.350323
Running average loss: 0.352221
Running average loss: 0.350581
Running average loss: 0.347919
Running average loss: 0.345294
Running average loss: 0.346368
Running average loss: 0.347098
Running average loss: 0.348078
Running average loss: 0.348398
Running average loss: 0.348362
Running average loss: 0.348314
Running average loss: 0.348347
Running average loss: 0.348849
Running average loss: 0.348880
Running average loss: 0.353080
Running average loss: 0.358621
Running average loss: 0.360334
Running average loss: 0.358591
Running average loss: 0.356672
Running average loss: 0.354606
Running average loss: 0.352639
Running average loss: 0.352110
Running average loss: 0.351772
Running average loss: 0.351604
Running average loss: 0.351463
Running average loss: 0.350189
Running average loss: 0.348545
Running average loss: 0.347128
Running average loss: 0.345934
Running average loss: 0.344844
Running average loss: 0.346473
VALIDATION LOSS: 0.361403
Elapsed time 346.16398453712463 seconds

EPOCH 3
Running average loss: 0.586658
Running average loss: 0.513370
Running average loss: 0.481456
Running average loss: 0.448736
Running average loss: 0.422155
Running average loss: 0.397388
Running average loss: 0.403783
Running average loss: 0.407779
Running average loss: 0.400580
Running average loss: 0.400333
Running average loss: 0.401228
Running average loss: 0.394072
Running average loss: 0.387232
Running average loss: 0.382774
Running average loss: 0.379072
Running average loss: 0.375646
Running average loss: 0.373209
Running average loss: 0.371872
Running average loss: 0.366422
Running average loss: 0.361796
Running average loss: 0.362109
Running average loss: 0.365249
Running average loss: 0.366344
Running average loss: 0.369083
Running average loss: 0.369694
Running average loss: 0.366457
Running average loss: 0.363190
Running average loss: 0.358891
Running average loss: 0.354663
Running average loss: 0.353159
Running average loss: 0.352141
Running average loss: 0.350325
Running average loss: 0.348062
Running average loss: 0.346615
Running average loss: 0.347528
Running average loss: 0.347291
Running average loss: 0.345631
Running average loss: 0.346722
Running average loss: 0.347144
Running average loss: 0.348708
Running average loss: 0.350264
Running average loss: 0.348627
Running average loss: 0.345985
Running average loss: 0.343413
Running average loss: 0.344404
Running average loss: 0.345149
Running average loss: 0.346092
Running average loss: 0.346400
Running average loss: 0.346388
Running average loss: 0.346348
Running average loss: 0.346419
Running average loss: 0.347063
Running average loss: 0.347038
Running average loss: 0.351228
Running average loss: 0.356757
Running average loss: 0.358523
Running average loss: 0.356878
Running average loss: 0.354985
Running average loss: 0.352946
Running average loss: 0.351060
Running average loss: 0.350522
Running average loss: 0.350226
Running average loss: 0.350085
Running average loss: 0.349986
Running average loss: 0.348725
Running average loss: 0.347095
Running average loss: 0.345703
Running average loss: 0.344535
Running average loss: 0.343476
Running average loss: 0.345125
VALIDATION LOSS: 0.360928
Elapsed time 347.01349449157715 seconds

EPOCH 4
Running average loss: 0.584103
Running average loss: 0.511811
Running average loss: 0.478002
Running average loss: 0.445593
Running average loss: 0.416721
Running average loss: 0.392070
Running average loss: 0.399178
Running average loss: 0.404197
Running average loss: 0.397808
Running average loss: 0.398435
Running average loss: 0.400085
Running average loss: 0.393230
Running average loss: 0.386665
Running average loss: 0.382321
Running average loss: 0.378725
Running average loss: 0.375679
Running average loss: 0.373232
Running average loss: 0.372001
Running average loss: 0.366585
Running average loss: 0.362046
Running average loss: 0.362317
Running average loss: 0.365439
Running average loss: 0.366581
Running average loss: 0.369405
Running average loss: 0.369992
Running average loss: 0.366774
Running average loss: 0.363482
Running average loss: 0.359189
Running average loss: 0.354952
Running average loss: 0.353407
Running average loss: 0.352388
Running average loss: 0.350455
Running average loss: 0.348153
Running average loss: 0.346693
Running average loss: 0.347699
Running average loss: 0.347279
Running average loss: 0.345662
Running average loss: 0.346637
Running average loss: 0.346992
Running average loss: 0.348471
Running average loss: 0.349899
Running average loss: 0.348201
Running average loss: 0.345544
Running average loss: 0.342916
Running average loss: 0.343837
Running average loss: 0.344555
Running average loss: 0.345439
Running average loss: 0.345702
Running average loss: 0.345659
Running average loss: 0.345618
Running average loss: 0.345693
Running average loss: 0.346398
Running average loss: 0.346331
Running average loss: 0.350506
Running average loss: 0.356025
Running average loss: 0.357779
Running average loss: 0.356138
Running average loss: 0.354247
Running average loss: 0.352213
Running average loss: 0.350325
Running average loss: 0.349797
Running average loss: 0.349504
Running average loss: 0.349371
Running average loss: 0.349271
Running average loss: 0.348021
Running average loss: 0.346393
Running average loss: 0.345023
Running average loss: 0.343865
Running average loss: 0.342831
Running average loss: 0.344473
VALIDATION LOSS: 0.360557
Elapsed time 343.375284910202 seconds

EPOCH 5
Running average loss: 0.581261
Running average loss: 0.509984
Running average loss: 0.475707
Running average loss: 0.442501
Running average loss: 0.414236
Running average loss: 0.390082
Running average loss: 0.397147
Running average loss: 0.401850
Running average loss: 0.395425
Running average loss: 0.395932
Running average loss: 0.397506
Running average loss: 0.390821
Running average loss: 0.384420
Running average loss: 0.380156
Running average loss: 0.376723
Running average loss: 0.373750
Running average loss: 0.371259
Running average loss: 0.370140
Running average loss: 0.364891
Running average loss: 0.360460
Running average loss: 0.360795
Running average loss: 0.363960
Running average loss: 0.365163
Running average loss: 0.368062
Running average loss: 0.368678
Running average loss: 0.365515
Running average loss: 0.362224
Running average loss: 0.357957
Running average loss: 0.353725
Running average loss: 0.352195
Running average loss: 0.351197
Running average loss: 0.349213
Running average loss: 0.346921
Running average loss: 0.345453
Running average loss: 0.346494
Running average loss: 0.346024
Running average loss: 0.344384
Running average loss: 0.345366
Running average loss: 0.345740
Running average loss: 0.347218
Running average loss: 0.348663
